LPM,AREA,POINT_ID,EASTING-X,NORTHING-Y,LATITUDE,LONGITUDE,DESCRIPTION
132,2.113,2,316193.95,1616646.72,14.616915,79.293517,"WaterBody,Vagu/Vanka/Yeru"
132,2.113,3,316150.99,1616639.6,14.616848,79.293119,"WaterBody,Vagu/Vanka/Yeru"
132,2.113,4,316060.09,1616881.95,14.619032,79.292258,"WaterBody,Vagu/Vanka/Yeru"
132,2.113,5,316064.8,1616878.22,14.618999,79.292302,"WaterBody,Vagu/Vanka/Yeru"
132,2.113,6,316086.55,1616839.7,14.618652,79.292507,"WaterBody,Vagu/Vanka/Yeru"
57,1.488,1,316003.17,1617197.17,14.621877,79.291708,"Road,National Highways"
57,1.488,2,316006.46,1617186.81,14.621784,79.291739,"Road,National Highways"
57,1.488,3,316018.8,1617148,14.621434,79.291857,"Road,National Highways"
57,1.488,4,316021.5,1617137.55,14.621339,79.291882,"Road,National Highways"
57,1.488,5,316034.1,1617088.82,14.6209,79.292003,"Road,National Highways"
57,1.488,6,315992.64,1617078.99,14.620808,79.291619,"Road,National Highways"
